response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8929,0.0129,0.0005,0.0030,2.8767,0.0002,200,0.0088
2.8929,0.0130,0.0005,0.0030,2.8767,0.0001,200,0.0088
2.8928,0.0117,0.0005,0.0029,2.8769,0.0001,200,0.0089
2.8918,0.0006,0.0003,0.0008,2.8903,0.0001,200,0.0100
2.8929,0.0119,0.0004,0.0031,2.8768,0.0001,200,0.0089
2.8919,0.0119,0.0003,0.0032,2.8768,0.0000,200,0.0100
2.8937,0.0118,0.0004,0.0031,2.8770,0.0001,200,0.0082
2.8948,0.0007,0.0001,0.0010,2.8912,0.0001,200,0.0082
2.8949,0.0005,0.0000,0.0009,2.8915,0.0000,200,0.0082
2.8942,0.0006,0.0000,0.0010,2.8914,0.0000,200,0.0089
3.3125,0.0114,0.0009,0.0027,3.2983,0.0001,200,0.0102
3.3148,0.0108,0.0000,0.0028,3.3012,0.0001,200,0.0109
3.3490,0.0115,0.0003,0.0030,3.3344,0.0001,200,0.0103
3.3515,0.0139,0.0029,0.0028,3.3347,0.0000,200,0.0078
3.3902,0.0109,0.0000,0.0028,3.3765,0.0000,200,0.0108
3.3981,0.0115,0.0002,0.0029,3.3824,0.0000,200,0.0089
3.4292,0.0137,0.0029,0.0027,3.4126,0.0000,200,0.0078
3.4341,0.0106,0.0000,0.0027,3.4207,0.0000,200,0.0110
3.4769,0.0110,0.0000,0.0029,3.4630,0.0001,200,0.0108
3.4872,0.0128,0.0009,0.0026,3.4710,0.0001,200,0.0082
3.7466,0.0184,0.0011,0.0001,3.7280,0.0001,200,0.0116
3.7857,0.0119,0.0001,0.0031,3.7696,0.0001,200,0.0090
3.8037,0.0024,0.0002,0.0009,3.8003,0.0001,200,0.0082
3.8042,0.0007,0.0002,0.0009,3.8025,0.0001,200,0.0100
3.9011,0.0118,0.0004,0.0030,3.8851,0.0001,200,0.0089
3.9137,0.0193,0.0016,0.0001,3.8943,0.0001,200,0.0110
3.9167,0.0130,0.0003,0.0031,3.8999,0.0001,200,0.0082
3.9986,0.0118,0.0004,0.0031,3.9836,0.0001,200,0.0101
4.0060,0.0118,0.0004,0.0030,3.9911,0.0001,200,0.0101
4.0475,0.0114,0.0001,0.0030,4.0330,0.0001,200,0.0104
4.1822,0.0118,0.0005,0.0030,4.1674,0.0001,200,0.0100
4.3293,0.0117,0.0007,0.0029,4.3135,0.0001,200,0.0089
4.3550,0.0115,0.0002,0.0029,4.3384,0.0001,200,0.0082
4.4003,0.0112,0.0003,0.0028,4.3861,0.0001,200,0.0105
4.4702,0.0138,0.0029,0.0028,4.4535,0.0001,200,0.0078
4.4739,0.0116,0.0000,0.0031,4.4570,0.0001,200,0.0082
4.5107,0.0114,0.0003,0.0028,4.4964,0.0001,200,0.0103
4.5443,0.0172,0.0001,0.0001,4.5269,0.0001,200,0.0127
4.5728,0.0138,0.0030,0.0028,4.5561,0.0001,200,0.0078
4.6126,0.0137,0.0030,0.0027,4.5960,0.0001,200,0.0078
4.6228,0.0165,0.0033,0.0001,4.6061,0.0001,200,0.0101
4.8784,0.0189,0.0038,0.0002,4.8590,0.0001,200,0.0089
4.8906,0.0136,0.0030,0.0027,4.8742,0.0001,200,0.0080
4.8907,0.0147,0.0047,0.0010,4.8744,0.0001,200,0.0089
4.9159,0.0134,0.0029,0.0027,4.8997,0.0001,200,0.0082
4.9618,0.0188,0.0014,0.0001,4.9428,0.0001,200,0.0113
5.0108,0.0142,0.0009,0.0001,4.9964,0.0001,200,0.0124
5.0158,0.0208,0.0036,0.0000,4.9948,0.0001,200,0.0091
5.0922,0.0176,0.0000,0.0000,5.0744,0.0001,200,0.0126
5.1385,0.0114,0.0009,0.0026,5.1244,0.0001,200,0.0102
5.2059,0.0122,0.0035,0.0013,5.1918,0.0001,200,0.0082
5.3273,0.0199,0.0010,0.0000,5.3072,0.0001,200,0.0114
5.3669,0.0108,0.0019,0.0015,5.3525,0.0001,200,0.0081
5.4139,0.0185,0.0015,0.0001,5.3952,0.0001,200,0.0113
5.4512,0.0150,0.0000,0.0002,5.4359,0.0001,200,0.0130
5.4841,0.0171,0.0041,0.0002,5.4655,0.0001,200,0.0082
5.4948,0.0098,0.0012,0.0013,5.4836,0.0001,200,0.0110
5.5283,0.0131,0.0000,0.0002,5.5150,0.0000,200,0.0133
5.6348,0.0158,0.0008,0.0001,5.6187,0.0001,200,0.0122
5.6469,0.0098,0.0010,0.0015,5.6355,0.0001,200,0.0111
5.7570,0.0128,0.0034,0.0015,5.7426,0.0001,200,0.0082
