response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.9470,0.0015,0.0000,0.0012,1.9441,0.0003,200,0.0100
1.9474,0.0013,0.0000,0.0011,1.9449,0.0001,200,0.0101
1.9494,0.0013,0.0005,0.0010,1.9471,0.0001,200,0.0100
1.9499,0.0014,0.0005,0.0010,1.9474,0.0001,200,0.0099
2.0406,0.0012,0.0002,0.0011,2.0381,0.0001,200,0.0101
2.0416,0.0016,0.0003,0.0011,2.0388,0.0001,200,0.0098
2.0417,0.0011,0.0003,0.0010,2.0395,0.0001,200,0.0102
2.0423,0.0016,0.0004,0.0011,2.0396,0.0001,200,0.0099
2.0426,0.0019,0.0004,0.0000,2.0405,0.0001,200,0.0099
2.0429,0.0014,0.0005,0.0010,2.0403,0.0001,200,0.0099
2.0429,0.0015,0.0002,0.0000,2.0412,0.0002,200,0.0102
2.0428,0.0008,0.0001,0.0010,2.0411,0.0001,200,0.0105
2.0446,0.0013,0.0005,0.0010,2.0422,0.0001,200,0.0100
2.0451,0.0015,0.0005,0.0011,2.0425,0.0001,200,0.0099
2.0454,0.0015,0.0005,0.0002,2.0437,0.0001,200,0.0100
2.0461,0.0011,0.0005,0.0000,2.0448,0.0001,200,0.0099
2.0471,0.0009,0.0000,0.0010,2.0452,0.0000,200,0.0104
2.0683,0.0017,0.0013,0.0000,2.0666,0.0000,200,0.0097
2.4579,0.0033,0.0021,0.0009,2.4536,0.0001,200,0.0101
2.4730,0.0029,0.0025,0.0011,2.4689,0.0001,200,0.0105
2.5150,0.0008,0.0000,0.0009,2.5132,0.0001,200,0.0102
2.5352,0.0009,0.0003,0.0009,2.5333,0.0001,200,0.0102
2.5451,0.0028,0.0025,0.0003,2.5419,0.0001,200,0.0105
2.5892,0.0041,0.0014,0.0000,2.5850,0.0001,200,0.0098
2.5932,0.0035,0.0020,0.0001,2.5896,0.0001,200,0.0101
2.6021,0.0033,0.0021,0.0009,2.5978,0.0001,200,0.0101
2.6387,0.0016,0.0013,0.0002,2.6368,0.0001,200,0.0096
2.6549,0.0016,0.0012,0.0008,2.6524,0.0001,200,0.0093
2.9824,0.0007,0.0000,0.0009,2.9807,0.0001,200,0.0104
3.0033,0.0013,0.0012,0.0001,3.0018,0.0001,200,0.0096
3.0086,0.0015,0.0013,0.0001,3.0069,0.0001,200,0.0097
3.0464,0.0009,0.0003,0.0009,3.0443,0.0001,200,0.0103
3.0501,0.0005,0.0004,0.0007,3.0489,0.0001,200,0.0104
3.0682,0.0014,0.0012,0.0007,3.0660,0.0001,200,0.0095
3.0795,0.0011,0.0006,0.0009,3.0774,0.0001,200,0.0100
3.1059,0.0007,0.0003,0.0008,3.1042,0.0001,200,0.0103
3.1868,0.0037,0.0014,0.0010,3.1819,0.0001,200,0.0098
3.2557,0.0016,0.0012,0.0002,3.2538,0.0001,200,0.0096
3.4183,0.1224,0.0055,0.0026,3.2932,0.0001,200,0.0137
3.4809,0.0067,0.0057,0.0002,3.4739,0.0001,200,0.0117
3.4938,0.0038,0.0014,0.0009,3.4890,0.0001,200,0.0097
3.4958,0.0005,0.0004,0.0001,3.4951,0.0001,200,0.0104
3.5269,0.0009,0.0000,0.0609,3.4648,0.0002,200,0.0098
3.5656,0.0015,0.0012,0.0008,3.5633,0.0001,200,0.0095
3.6113,0.0007,0.0003,0.0008,3.6096,0.0001,200,0.0103
3.6494,0.0016,0.0012,0.0008,3.6469,0.0001,200,0.0094
3.7811,0.0006,0.0004,0.0007,3.7797,0.0001,200,0.0103
3.7863,0.0047,0.0033,0.0000,3.7815,0.0001,200,0.0104
3.9039,0.0014,0.0013,0.0023,3.9000,0.0001,200,0.0098
3.9254,0.0038,0.0013,0.0009,3.9206,0.0001,200,0.0098
3.9422,0.0016,0.0012,0.0002,3.9404,0.0001,200,0.0097
4.0222,0.0017,0.0013,0.0006,4.0198,0.0001,200,0.0095
4.0529,0.0013,0.0012,0.0001,4.0514,0.0001,200,0.0096
4.0809,0.0068,0.0066,0.0001,4.0740,0.0001,200,0.0116
4.1032,0.0068,0.0066,0.0002,4.0961,0.0001,200,0.0116
4.1507,0.0063,0.0061,0.0001,4.1442,0.0001,200,0.0120
4.1898,0.1125,0.0079,0.0152,4.0619,0.0001,200,0.0103
4.2451,0.1239,0.0066,0.0028,4.1183,0.0001,200,0.0116
4.3627,0.1109,0.0072,0.0204,4.2313,0.0001,200,0.0111
4.4355,0.1251,0.0059,0.0058,4.3044,0.0001,200,0.0117
