response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.2521,0.0009,0.0001,0.0036,1.2473,0.0002,200,0.0167
1.9408,0.0005,0.0001,0.0025,1.9378,0.0001,200,0.0167
2.4198,0.0034,0.0011,0.0007,2.4156,0.0001,200,0.0161
2.9638,0.0057,0.0009,0.0046,2.9534,0.0000,200,0.0162
3.3696,0.0027,0.0008,0.0020,3.3645,0.0000,200,0.0161
3.9665,0.0005,0.0003,0.0029,3.9630,0.0000,200,0.0168
4.4069,0.0005,0.0003,0.0028,4.4034,0.0000,200,0.0167
4.8843,0.0006,0.0003,0.0034,4.8801,0.0000,200,0.0167
5.4755,0.0008,0.0007,0.0199,5.4546,0.0001,200,0.0166
6.0200,0.0006,0.0004,0.0049,6.0143,0.0000,200,0.0168
6.5477,0.0008,0.0007,0.0026,6.5442,0.0001,200,0.0166
7.0912,0.0008,0.0007,0.0019,7.0885,0.0000,200,0.0166
7.4976,0.0029,0.0009,0.0018,7.4928,0.0001,200,0.0165
7.9580,0.0038,0.0009,0.0006,7.9533,0.0001,200,0.0162
8.4904,0.0010,0.0009,0.0033,8.4860,0.0001,200,0.0165
8.9756,0.0010,0.0008,0.0026,8.9720,0.0000,200,0.0166
9.5454,0.0006,0.0004,0.0016,9.5430,0.0000,200,0.0168
10.1352,0.0010,0.0009,0.0026,10.1315,0.0000,200,0.0165
10.7319,0.0009,0.0008,0.0027,10.7282,0.0001,200,0.0166
11.1989,0.0010,0.0009,0.0001,11.1977,0.0001,200,0.0166
11.7810,0.0011,0.0009,0.0027,11.7771,0.0000,200,0.0165
12.3147,0.0008,0.0007,0.0018,12.3120,0.0000,200,0.0167
12.7944,0.0010,0.0009,0.0016,12.7918,0.0001,200,0.0166
13.3462,0.0008,0.0007,0.0023,13.3430,0.0001,200,0.0167
13.8222,0.0011,0.0010,0.0031,13.8180,0.0000,200,0.0165
14.3995,0.0010,0.0009,0.0017,14.3967,0.0000,200,0.0166
14.8436,0.0011,0.0010,0.0021,14.8403,0.0000,200,0.0165
15.4040,0.0011,0.0010,0.0028,15.4001,0.0000,200,0.0165
15.9775,0.0738,0.0052,0.0009,15.9013,0.0000,200,0.0174
16.5701,0.0683,0.0003,0.0005,16.4947,0.0001,200,0.0182
17.1288,0.0710,0.0015,0.0006,17.0520,0.0001,200,0.0168
17.5289,0.0705,0.0000,0.0007,17.4535,0.0000,200,0.0180
18.0395,0.0711,0.0000,0.0006,17.9639,0.0001,200,0.0179
18.5288,0.0722,0.0017,0.0007,18.4530,0.0000,200,0.0176
19.0647,0.0753,0.0048,0.0007,18.9886,0.0001,200,0.0174
19.5722,0.0686,0.0000,0.0009,19.4970,0.0001,200,0.0183
20.0375,0.0737,0.0053,0.0008,19.9609,0.0000,200,0.0168
20.6358,0.0721,0.0017,0.0007,20.5598,0.0001,200,0.0174
21.0705,0.0722,0.0042,0.0006,20.9943,0.0000,200,0.0174
21.4905,0.0739,0.0035,0.0007,21.4144,0.0001,200,0.0173
22.0513,0.0707,0.0000,0.0005,21.9758,0.0002,200,0.0179
22.5338,0.0723,0.0012,0.0006,22.4576,0.0000,200,0.0172
23.0912,0.0743,0.0036,0.0012,23.0142,0.0001,200,0.0174
23.6182,0.0739,0.0035,0.0009,23.5421,0.0001,200,0.0174
24.1050,0.0710,0.0025,0.0009,24.0281,0.0000,200,0.0174
24.6989,0.0711,0.0000,0.0011,24.6225,0.0000,200,0.0178
25.1408,0.0723,0.0013,0.0006,25.0649,0.0001,200,0.0177
25.6463,0.0724,0.0016,0.0010,25.5700,0.0000,200,0.0177
26.0853,0.0743,0.0057,0.0009,26.0079,0.0000,200,0.0168
26.6662,0.0755,0.0013,0.0006,26.5900,0.0001,200,0.0171
27.2422,0.0718,0.0027,0.0007,27.1659,0.0001,200,0.0181
27.7741,0.0738,0.0060,0.0007,27.6975,0.0001,200,0.0168
28.2979,0.0745,0.0061,0.0008,28.2206,0.0001,200,0.0168
28.8422,0.0692,0.0000,0.0011,28.7661,0.0002,200,0.0182
29.3579,0.0720,0.0035,0.0008,29.2819,0.0000,200,0.0174
29.8695,0.0728,0.0039,0.0007,29.7930,0.0001,200,0.0177
30.2856,0.0707,0.0028,0.0005,30.2100,0.0001,200,0.0178
30.7174,0.0741,0.0050,0.0011,30.6401,0.0001,200,0.0168
31.2022,0.0709,0.0000,0.0006,31.1266,0.0001,200,0.0178
31.7722,0.0692,0.0000,0.0011,31.6961,0.0001,200,0.0182
32.2091,0.0722,0.0014,0.0006,32.1330,0.0001,200,0.0173
32.7651,0.0711,0.0001,0.0011,32.6889,0.0001,200,0.0179
33.2474,0.0718,0.0028,0.0007,33.1705,0.0001,200,0.0174
33.7078,0.0737,0.0034,0.0007,33.6316,0.0001,200,0.0172
34.1248,0.0760,0.0050,0.0011,34.0477,0.0000,200,0.0170
34.6880,0.0714,0.0000,0.0007,34.6125,0.0001,200,0.0178
35.1885,0.0726,0.0015,0.0011,35.1119,0.0001,200,0.0176
35.6039,0.0746,0.0061,0.0009,35.5272,0.0001,200,0.0176
36.1190,0.0721,0.0014,0.0006,36.0432,0.0001,200,0.0174
36.7055,0.0743,0.0059,0.0008,36.6289,0.0000,200,0.0174
37.2288,0.0703,0.0000,0.0006,37.1536,0.0000,200,0.0180
37.6528,0.0692,0.0009,0.0007,37.5770,0.0001,200,0.0182
38.1765,0.0747,0.0056,0.0005,38.0993,0.0001,200,0.0168
38.7135,0.0708,0.0000,0.0006,38.6381,0.0001,200,0.0179
39.1389,0.0744,0.0057,0.0005,39.0622,0.0001,200,0.0174
39.6438,0.0708,0.0000,0.0012,39.5674,0.0001,200,0.0180
40.1844,0.0741,0.0057,0.0007,40.1078,0.0000,200,0.0173
40.7689,0.0742,0.0050,0.0011,40.6922,0.0001,200,0.0175
41.2797,0.0742,0.0051,0.0011,41.2029,0.0001,200,0.0172
41.8716,0.0723,0.0016,0.0010,41.7950,0.0000,200,0.0173
42.3395,0.0711,0.0001,0.0011,42.2634,0.0000,200,0.0180
42.9291,0.0758,0.0050,0.0010,42.8522,0.0000,200,0.0171
43.4876,0.0725,0.0015,0.0011,43.4112,0.0000,200,0.0177
43.9873,0.0716,0.0029,0.0005,43.9114,0.0000,200,0.0179
44.4006,0.0740,0.0060,0.0009,44.3243,0.0001,200,0.0177
44.8124,0.0714,0.0024,0.0007,44.7354,0.0001,200,0.0173
45.3413,0.0727,0.0040,0.0005,45.2651,0.0001,200,0.0177
45.8762,0.0715,0.0029,0.0008,45.8001,0.0000,200,0.0180
46.3967,0.0738,0.0048,0.0010,46.3196,0.0001,200,0.0168
46.9406,0.0741,0.0056,0.0009,46.8638,0.0000,200,0.0174
47.5233,0.0740,0.0051,0.0010,47.4470,0.0001,200,0.0176
48.1030,0.0746,0.0041,0.0008,48.0258,0.0000,200,0.0168
48.5920,0.0723,0.0043,0.0008,48.5155,0.0001,200,0.0174
49.1127,0.0758,0.0050,0.0009,49.0359,0.0001,200,0.0171
49.6703,0.0759,0.0050,0.0010,49.5933,0.0001,200,0.0170
50.1751,0.0721,0.0033,0.0010,50.0988,0.0000,200,0.0174
50.7107,0.0724,0.0032,0.0011,50.6343,0.0000,200,0.0177
51.1516,0.0739,0.0051,0.0010,51.0755,0.0000,200,0.0176
51.6502,0.0742,0.0063,0.0008,51.5742,0.0000,200,0.0176
52.1110,0.0723,0.0032,0.0011,52.0347,0.0000,200,0.0178
52.6786,0.0687,0.0000,0.0009,52.6018,0.0000,200,0.0168
53.1492,0.0685,0.0000,0.0008,53.0719,0.0001,200,0.0168
53.7457,0.0739,0.0058,0.0006,53.6694,0.0000,200,0.0172
54.2382,0.0720,0.0034,0.0009,54.1620,0.0000,200,0.0174
54.8373,0.0742,0.0057,0.0009,54.7608,0.0000,200,0.0177
55.3331,0.0740,0.0035,0.0008,55.2569,0.0000,200,0.0173
55.8337,0.0710,0.0002,0.0010,55.7564,0.0001,200,0.0168
56.2762,0.0727,0.0018,0.0014,56.1993,0.0001,200,0.0178
56.7637,0.0723,0.0033,0.0010,56.6864,0.0001,200,0.0168
57.2238,0.0746,0.0037,0.0013,57.1464,0.0001,200,0.0173
57.8147,0.0708,0.0000,0.0010,57.7375,0.0001,200,0.0168
58.3746,0.0727,0.0006,0.0013,58.2966,0.0001,200,0.0167
58.8094,0.0690,0.0000,0.0010,58.7328,0.0001,200,0.0173
59.3571,0.0717,0.0026,0.0008,59.2804,0.0000,200,0.0178
59.9361,0.0708,0.0025,0.0007,59.8590,0.0001,200,0.0168
60.4277,0.0716,0.0002,0.0009,60.3516,0.0001,200,0.0179
60.8622,0.0723,0.0016,0.0009,60.7861,0.0001,200,0.0177
61.4371,0.0739,0.0059,0.0008,61.3605,0.0001,200,0.0173
61.8916,0.0725,0.0041,0.0007,61.8149,0.0001,200,0.0172
62.3581,0.0741,0.0058,0.0007,62.2814,0.0001,200,0.0172
62.8425,0.0683,0.0000,0.0007,62.7666,0.0001,200,0.0180
63.3269,0.0711,0.0005,0.0009,63.2504,0.0001,200,0.0173
63.7476,0.0745,0.0037,0.0013,63.6704,0.0001,200,0.0173
64.3466,0.0722,0.0033,0.0010,64.2704,0.0001,200,0.0177
64.8292,0.0726,0.0018,0.0013,64.7522,0.0000,200,0.0174
65.3986,0.0689,0.0007,0.0007,65.3230,0.0001,200,0.0182
65.8696,0.0744,0.0057,0.0010,65.7925,0.0000,200,0.0173
66.3095,0.0725,0.0030,0.0007,66.2331,0.0000,200,0.0174
66.8526,0.0747,0.0055,0.0008,66.7757,0.0001,200,0.0175
67.3172,0.0728,0.0041,0.0010,67.2401,0.0001,200,0.0173
67.9172,0.0708,0.0029,0.0008,67.8402,0.0001,200,0.0168
68.4653,0.0691,0.0000,0.0007,68.3891,0.0001,200,0.0182
68.9201,0.0707,0.0000,0.0008,68.8432,0.0001,200,0.0168
69.3701,0.0754,0.0018,0.0005,69.2924,0.0001,200,0.0172
69.9240,0.0740,0.0062,0.0008,69.8476,0.0001,200,0.0173
70.4662,0.0757,0.0051,0.0008,70.3896,0.0001,200,0.0171
71.0263,0.0739,0.0052,0.0010,70.9499,0.0001,200,0.0173
71.4580,0.0740,0.0043,0.0007,71.3820,0.0000,200,0.0176
71.9543,0.0737,0.0034,0.0009,71.8779,0.0001,200,0.0173
72.4638,0.0740,0.0058,0.0006,72.3875,0.0001,200,0.0175
72.9382,0.0741,0.0060,0.0006,72.8617,0.0001,200,0.0173
73.4282,0.0738,0.0060,0.0007,73.3514,0.0001,200,0.0168
73.9955,0.0708,0.0002,0.0008,73.9196,0.0001,200,0.0178
74.3972,0.0743,0.0062,0.0006,74.3208,0.0001,200,0.0173
74.9800,0.0738,0.0052,0.0009,74.9036,0.0001,200,0.0173
75.5491,0.0722,0.0016,0.0008,75.4723,0.0000,200,0.0168
75.9614,0.0679,0.0000,0.0007,75.8858,0.0001,200,0.0180
76.3908,0.0691,0.0000,0.0007,76.3154,0.0001,200,0.0182
76.8903,0.0716,0.0005,0.0014,76.8133,0.0002,200,0.0178
